,long,score,lat,n
87,3.39583,0.24370865523815155,6.45306,10
88,-0.77616554,0.5504980087280273,53.39367443,10
89,-114.615,0.23816804587841034,32.6921,10
90,44.51361,0.9391605257987976,40.18111,10
91,-118.2675,0.711131751537323,34.09444444,10
92,135.76890618,0.21360862255096436,35.00984255,10
93,-73.78297163,0.13152317702770233,40.7127028,10
94,86.15,0.5315903425216675,23.67,10
95,135.15931921,0.06579671055078506,34.66904339,10
96,-1.13215266,0.1024380475282669,53.95974111,10
97,101.6274941,0.2917700707912445,3.18687438,10
98,13.2667,0.3224751651287079,52.75,10
99,77,0.6315541863441467,21,10
100,3.39583,0.20746922492980957,6.45306,10
101,151.20797,0.34522223472595215,-33.86751,10
102,-100,0.8751587271690369,40,10
103,-82.5,0.9570434093475342,40.5,10
104,34.44928424,0.8208824992179871,49.51024935,10
105,-73.56725453,0.06154893711209297,45.75975883,10
106,-2.25,0.28657424449920654,52.78333333,10
107,13.401251,0.8145127296447754,52.518391,10
108,7.0698677,0.5675296783447266,6.2281539,10
109,-0.50248222,0.6018966436386108,51.36871946,10
110,91.8574785,0.27795639634132385,22.3175859,10
111,-4.629734,0.14757318794727325,54.08989,10
112,-118.364,0.5524256825447083,33.7582,10
113,-0.9037,0.8084272146224976,51.53613,10
114,-118.2445,0.8250949382781982,34.0564,10
115,-0.15277778,0.8490927815437317,50.82777778,10
116,-0.1094,0.4498094618320465,51.5141,10
117,55.2749789,0.143077552318573,25.19496455,10
118,-4.57351,0.3714248538017273,36.59515,10
119,-0.01617908,0.5738902688026428,51.5445469,10
120,121.0434893,0.6170212030410767,14.70223192,10
121,-73.98504561,0.7764785885810852,40.75900143,10
122,50.66527778,0.18460725247859955,26.29111111,10
123,-1.17484,0.8271620273590088,54.46427,10
124,116.06018633,0.33706071972846985,-31.77469094,10
125,-3.0447,0.7260085344314575,53.815,10
126,121.0826,0.38880839943885803,14.563,10
127,-0.16205243,0.3614134192466736,51.54600832,10
128,3.35004343,0.17291568219661713,6.58125476,10
129,-82.5,0.9403744339942932,40.5,10
130,-5.1109,0.4966021776199341,55.4419,10
131,-86.2514,0.7650576829910278,12.1364,10
132,-0.0643,0.4143873453140259,51.47995,10
133,-95.52729067,0.9345495104789734,29.68436371,10
134,0.46072446,0.29812029004096985,51.56944648,10
135,-117.251,0.08268428593873978,34.0484,10
136,-74.0032361,0.880624532699585,40.6497944,10
137,78.001152,0.30047082901000977,27.1899509,10
138,-121.4947,0.8546798825263977,38.577,10
139,100.75572961,0.6279693245887756,13.61570086,10
140,153.028,0.1490309089422226,-27.4678,10
141,18.42175373,0.20292936265468597,-33.92436976,10
142,88.3699,0.3742533028125763,22.5697,10
143,121.083,0.9465376138687134,14.3333,10
144,151.20797,0.144523024559021,-33.86751,10
145,121.083,0.8941378593444824,14.3333,10
146,72.8764,0.10856066644191742,19.0627,10
147,106.79966,0.3407910168170929,-6.25493,10
148,-1.3733448,0.1097758412361145,50.9195238,10
149,77.219672,0.0882076844573021,28.631747,10
150,-79,0.16945834457874298,37.5,10
151,100.27267266,0.5962809324264526,6.42822355,10
152,89.6365,0.2633916437625885,27.42030322,10
153,3.31174928,0.67271488904953,6.50596967,10
154,83.97424,0.2731666564941406,21.46534,10
155,72.8501122,0.29087960720062256,19.0566854,10
156,72.82,0.6790330410003662,18.96,10
157,-0.75539,0.28435853123664856,51.2938,10
158,151.20172011,0.22610358893871307,-33.87124307,10
159,103.856,0.14016275107860565,1.29306,10
160,-2.25002,0.6777810454368591,52.38833,10
161,151.20797,0.5686038732528687,-33.86751,10
162,77.219672,0.15678949654102325,28.631747,10
163,121.0335388,0.9729081988334656,14.4086103,10
164,54.49927804,0.3956821858882904,24.35006116,10
165,-1.15946732,0.6278770565986633,50.65433016,10
166,3.39583,0.6854944825172424,6.45306,10
167,76.13070022,0.9560285806655884,34.5542402,10
168,-2.99521308,0.04513334110379219,53.42583651,10
