,coordinates,score
214,"75.8655,22.7253",0.13636363636363635
215,"-97.7475,30.2677",0.375
216,"-71.002427,42.19793",-0.03333333333333333
217,"-75.07201704,39.37255525",0.0
218,"-73.935756,40.848138",0.0
219,"-0.0880271,51.3652378",-0.05
220,"-73.56725453,45.75975883",0.12159090909090907
221,"-73.98527778,44.28555556",-0.054545454545454536
222,"-73.8309,40.7",0.13636363636363635
223,"-95.46230789,30.16621578",0.05
224,"-82.3959732,42.9940262",0.375
225,"16.41560835,48.1739745",0.0
226,"-1.1934026,54.47107",0.0
227,"55.2741,25.1994",0.13409090909090907
228,"28.016854,-26.1415279",-0.05
229,"77,20.7",0.16818181818181818
230,"-9.05376056,53.26981069",0.9
231,"16.41560835,48.1739745",0.0
232,"-1.662,55.11",0.6952380952380953
233,"-97.32106155,31.04919488",0.625
234,"-73.78297163,40.7127028",0.0
235,"2.1683,41.3894",0.0
236,"-85.40465026,32.61425781",-0.7999999999999999
237,"36.8167,-1.28333",0.8
238,"-83.378571,33.957845",0.0
239,"-73.8309,40.7",0.13636363636363635
240,"4.85524,53.18212",0.17857142857142858
241,"-52.67845,47.5816",0.0
242,"-80.3658,25.687",0.25
243,"112.743,-7.2647",0.0
244,"77.2089,28.6139",0.13636363636363635
245,"-6.5265111,56.6248488",0.0
246,"-75.1651,39.9527",0.35
247,"-81.11368,32.00726",0.16666666666666669
248,"-79.7164011,43.7742911",0.060606060606060615
249,"-76.73599064,38.85052207",0.13541666666666666
250,"5.55,52.31666667",0.4
251,"-81.32806152,48.47593351",0.0
252,"-0.07939436,51.47496745",0.0
253,"87.2061831,26.67263215",0.625
254,"-76.6121893,39.2903848",0.0
255,"4.892222,52.373056",0.0
256,"-118.362217,34.1950487",0.275
257,"-4.12517285,50.38473167",0.525
258,"3.42720194,6.42253",-0.125
259,"-115.168424,36.0971351",0.3125
260,"-0.07939436,51.47496745",0.0
261,"-117.89369,33.78671",0.5
262,"-2.11,57.1526",0.1111111111111111
263,"-80.21616276,44.49840009",0.30277777777777776
264,"-76.13157,36.90431",0.4166666666666666
265,"-117.89369,33.78671",0.5
266,"85.310244,27.713776",0.1
267,"-1.1613205,52.6749562",-0.145
268,"77.23804016,28.57023402",0.0
269,"77,21",0.09166666666666667
270,"-74.0425728,40.2784256",0.1
271,"55.36487,25.3054528",0.0909090909090909
272,"2.1683,41.3894",0.0
273,"-2.18333,53",0.051642857142857136
274,"-73.792,40.69807",0.5
275,"-80.84333333,35.22694444",0.0
276,"-118.40814545,33.9461343",-0.08333333333333333
277,"8.07321,47.39367",-0.125
278,"-71.0565,42.3577",0.2
279,"-73.8531,40.7493",0.5
280,"-122.7756216,45.5064511",0.0
281,"-13.54179,28.9782",0.25
282,"-77.03649486,38.89769958",0.0
283,"-79.3872,43.648",-0.6
284,"-81.6937,41.4996",0.333887987012987
285,"124.988,11.2329",0.4017857142857143
286,"-81.3481369,28.75313",0.5
287,"-73.8309,40.7",0.03905723905723904
288,"39.186066,21.484635",0.0
289,"-73.95,40.65",-0.04861111111111111
290,"-95.6009765,29.9535",0.3
291,"-66.63911,45.96063",0.2
292,"86.66666667,46.28333333",0.0
293,"80.9463,26.88173",0.21428571428571427
294,"3.33224106,6.45683016",0.125
295,"-74.12475,40.89371",0.09375
296,"77.219672,28.631747",0.11666666666666665
297,"-74.1149992,43.5623428",0.2619047619047619
298,"-80.1749,26.0215",0.0
299,"-95.1047,29.5035",0.0
300,"-46.6333,-23.55",0.0
301,"-85,50",0.0
302,"-80.08884226,26.6463633",0.2
303,"-1.5080588,53.3861172",0.26875
304,"73.77840284,18.5045045",0.15
305,"-97.30354,32.76191",0.30000000000000004
306,"-0.136133,51.516759",0.0
307,"-84.3889,33.7566",0.00833333333333334
308,"-74.0007613,40.7207559",0.14545454545454548
309,"28.0333,-26.05",0.0
310,"-84.4091274,33.7779689",-0.07765151515151518
311,"-75.1651,39.9527",0.0
312,"-117.5655,33.8752",0.5
313,"-74.04619,40.75021",0.08333333333333333
314,"-122.026252,36.97205",0.0
315,"-79.33710916,43.66812671",0.0
316,"110.817365,-7.56867",0.14479166666666665
317,"-76.998268,38.885201",0.0
318,"-74.0064,40.7142",0.13636363636363635
319,"77.577453,34.152955",0.18181818181818185
320,"10.02102837,44.68039066",0.4127840909090909
321,"-0.316667,51.5",0.0
322,"-118.17000747,33.80400841",0.25625
323,"9.17454,48.77304",0.4
324,"-85.7554,38.2525",0.0
325,"-76.8618,38.94779",0.5
326,"-0.77620966,53.3936343",0.0
327,"-1.6216491,6.6957635",0.13636363636363635
328,"-0.316667,51.5",0.0
329,"139.80399548,35.7483628",-0.2916666666666667
330,"106.8233,-6.1803",0.0
331,"-117.799837,33.676563",-0.03787878787878788
